"    White alone, not Hispanic or Latino","172,522","±72","(X)","(X)","84,377","±201","(X)","(X)","88,145","±72","(X)","(X)"
"        High school graduate or higher","162,306","±1,771","94.1%","±1.0","79,039","±1,446","93.7%","±1.7","83,267","±953","94.5%","±1.1"
"        Bachelor's degree or higher","80,901","±3,579","46.9%","±2.1","43,906","±2,164","52.0%","±2.6","36,995","±2,210","42.0%","±2.5"
"    Black alone","56,416","±1,147","(X)","(X)","25,159","±579","(X)","(X)","31,257","±881","(X)","(X)"
"        High school graduate or higher","49,877","±2,052","88.4%","±2.9","21,110","±1,468","83.9%","±5.4","28,767","±1,223","92.0%","±2.6"
"        Bachelor's degree or higher","18,982","±2,610","33.6%","±4.6","7,694","±1,632","30.6%","±6.5","11,288","±1,721","36.1%","±5.3"
"    American Indian or Alaska Native alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    Asian alone","6,515","±836","(X)","(X)","2,978","±453","(X)","(X)","3,537","±570","(X)","(X)"
"        High school graduate or higher","5,996","±893","92.0%","±5.5","2,876","±434","96.6%","±4.6","3,120","±677","88.2%","±10.4"
"        Bachelor's degree or higher","3,989","±1,112","61.2%","±12.9","2,134","±588","71.7%","±15.6","1,855","±697","52.4%","±15.7"
"    Native Hawaiian and Other Pacific Islander alone","N","N","(X)","(X)","N","N","(X)","(X)","N","N","(X)","(X)"
"        High school graduate or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"        Bachelor's degree or higher","N","N","N","N","N","N","N","N","N","N","N","N"
"    Some other race alone","3,677","±1,411","(X)","(X)","2,113","±969","(X)","(X)","1,564","±608","(X)","(X)"
"        High school graduate or higher","2,505","±1,100","68.1%","±13.2","1,290","±755","61.1%","±20.4","1,215","±605","77.7%","±17.6"
"        Bachelor's degree or higher","461","±438","12.5%","±12.2","224","±383","10.6%","±17.6","237","±240","15.2%","±16.2"
"    Two or more races","7,506","±1,426","(X)","(X)","3,103","±589","(X)","(X)","4,403","±1,156","(X)","(X)"
"        High school graduate or higher","6,300","±1,250","83.9%","±9.6","2,609","±574","84.1%","±14.6","3,691","±1,018","83.8%","±11.9"
"        Bachelor's degree or higher","3,137","±1,074","41.8%","±10.4","1,171","±528","37.7%","±13.7","1,966","±887","44.7%","±14.6"
"    Hispanic or Latino Origin","10,241","±304","(X)","(X)","4,927","±481","(X)","(X)","5,314","±569","(X)","(X)"
"        High school graduate or higher","7,999","±967","78.1%","±9.1","3,645","±681","74.0%","±12.9","4,354","±643","81.9%","±9.9"
"        Bachelor's degree or higher","3,313","±1,273","32.4%","±12.5","1,553","±923","31.5%","±18.4","1,760","±759","33.1%","±13.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","27.9%","±6.6","(X)","(X)","29.8%","±10.5","(X)","(X)","25.6%","±8.4"
"    High school graduate (includes equivalency)","(X)","(X)","15.4%","±3.6","(X)","(X)","15.0%","±5.4","(X)","(X)","15.7%","±4.3"
"    Some college or associate's degree","(X)","(X)","9.8%","±2.3","(X)","(X)","7.0%","±2.6","(X)","(X)","11.8%","±3.2"
"    Bachelor's degree or higher","(X)","(X)","2.7%","±0.8","(X)","(X)","1.8%","±0.7","(X)","(X)","3.6%","±1.2"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","45,096","±2,625","(X)","(X)","55,904","±5,546","(X)","(X)","33,598","±4,510","(X)","(X)"
"        Less than high school graduate","18,177","±5,514","(X)","(X)","20,620","±6,001","(X)","(X)","13,508","±5,330","(X)","(X)"
"        High school graduate (includes equivalency)","26,333","±3,845","(X)","(X)","32,438","±2,327","(X)","(X)","20,764","±2,159","(X)","(X)"
"        Some college or associate's degree","31,915","±2,411","(X)","(X)","38,985","±6,375","(X)","(X)","26,525","±2,852","(X)","(X)"
"        Bachelor's degree","61,631","±3,065","(X)","(X)","76,889","±5,236","(X)","(X)","46,443","±4,723","(X)","(X)"
"        Graduate or professional degree","91,115","±5,799","(X)","(X)","103,575","±4,993","(X)","(X)","65,055","±3,979","(X)","(X)"
